WARNING:root:Add: 10 + 5 = 15
WARNING:root:Sub: 10 - 5 = 5
WARNING:root:Mul: 10 * 5 = 50
WARNING:root:Dev: 10 / 5 = 2.0
WARNING:root:Add: 10 + 5 = 15
WARNING:root:Sub: 10 - 5 = 5
WARNING:root:Mul: 10 * 5 = 50
WARNING:root:Dev: 10 / 5 = 2.0
DEBUG:root:Add: 10 + 5 = 15
DEBUG:root:Sub: 10 - 5 = 5
DEBUG:root:Mul: 10 * 5 = 50
DEBUG:root:Dev: 10 / 5 = 2.0
2024-08-18 16:23:17,923
2024-08-18 16:23:17,923
2024-08-18 16:23:17,923
2024-08-18 16:23:17,923
2024-08-18 16:25:17,770
2024-08-18 16:25:17,770
2024-08-18 16:25:17,770
2024-08-18 16:25:17,770
2024-08-18 16:26:00,806:DEBUG
2024-08-18 16:26:00,806:DEBUG
2024-08-18 16:26:00,806:DEBUG
2024-08-18 16:26:00,806:DEBUG
2024-08-18 16:26:44,856:DEBUG:Add: 10 + 5 = 15
2024-08-18 16:26:44,856:DEBUG:Sub: 10 - 5 = 5
2024-08-18 16:26:44,856:DEBUG:Mul: 10 * 5 = 50
2024-08-18 16:26:44,856:DEBUG:Dev: 10 / 5 = 2.0
2024-08-18 16:26:47,922:DEBUG:Add: 10 + 5 = 15
2024-08-18 16:26:47,922:DEBUG:Sub: 10 - 5 = 5
2024-08-18 16:26:47,935:DEBUG:Mul: 10 * 5 = 50
2024-08-18 16:26:47,935:DEBUG:Dev: 10 / 5 = 2.0
2024-08-18 16:40:08,769:INFO:Add: 10 + 5 = 15
2024-08-18 16:40:08,769:INFO:Sub: 10 - 5 = 5
2024-08-18 16:40:08,769:INFO:Mul: 10 * 5 = 50
2024-08-18 16:40:26,619:INFO:Add: 10 + 5 = 15
2024-08-18 16:40:26,619:INFO:Sub: 10 - 5 = 5
2024-08-18 16:40:26,619:INFO:Mul: 10 * 5 = 50
2024-08-18 16:40:26,619:INFO:Dev: 10 / 5 = 2.0
